1st Edge LLC - PSS							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Administrative Support 1	On	27.77	28.32	28.89	29.46	30.06	30.66
Administrative Support 2	On	42.41	43.26	44.12	45.01	45.91	46.83
Administrative Support 3	On	51.84	52.88	53.94	55.01	56.11	57.23
Engineer 2	On	70.36	70.36	71.76	73.2	74.66	76.15
Engineer 3	On	88.19	88.19	89.95	91.75	93.58	95.46
Engineer 4	On	104.58	104.58	106.67	108.81	110.99	113.21
Engineer 5	On	119.1	119.1	121.49	123.92	126.4	128.92
Program Analyst 1	On	64.83	64.83	67.04	68.38	69.75	71.14
Program Analyst 3	On	86.04	86.04	89.52	91.31	93.13	94.99
Program Analyst 4	On	89.16	90.94	92.76	94.61	96.51	98.44
Program Analyst 5	On	92.05	93.89	95.77	97.68	99.64	101.63
Program Analyst 6	On	94.08	95.96	97.89	99.84	101.84	103.88
Program Analyst 7	On	97.96	99.92	101.92	103.95	106.03	108.15
Program Analyst 8	On	111.02	113.24	115.5	117.82	120.18	122.58
Program Analyst 9	On	132.96	135.62	138.33	141.09	143.92	146.8
Senior Engineer 1	On	135.71	135.71	138.28	141.19	144.01	146.89
Senior Engineer 2	On	143.83	143.83	146.71	149.65	152.64	155.69
Senior Engineer 3	On	156.47	156.47	159.6	162.79	166.05	169.37
Senior Engineer 4	On	187.28	187.28	191.03	194.85	198.75	202.73
Technician 2	On	50.25	51.25	52.28	53.32	54.39	55.48
							
"Torch Technologies, Inc. - PSS"							
Labor Category	Site	8/26/2017 - 8/25/2018	8/26/2018 - 8/25/2019	8/26/2019 - 8/25/2020	8/26/2020 - 8/25/2021	8/26/2021 - 8/25/2022	8/26/2022 - 8/25/2023
Admin I	On	23.67	24.44	25.23	26.06	26.9	27.78
Admin I	Off	26.12	26.97	27.85	28.76	29.69	30.65
Admin II	On	44.09	45.53	47.01	48.54	50.12	51.75
Admin II	Off	51.25	52.92	54.63	56.41	58.24	60.14
Admin III	On	57.88	59.76	61.71	63.71	65.79	67.93
Admin III	Off	66.27	68.43	70.66	72.95	75.32	77.76
Engineer/Scientist I	On	51.79	53.48	55.21	57.01	58.86	60.77
Engineer/Scientist I	Off	56.74	58.58	60.48	62.45	64.48	66.57
Engineer/Scientist II	On	62.46	64.49	66.59	68.75	70.99	73.3
Engineer/Scientist II	Off	68.19	70.41	72.7	75.06	77.5	80.02
Engineer/Scientist III	On	69.79	72.06	74.4	76.82	79.32	81.89
Engineer/Scientist III	Off	76.83	79.32	81.9	84.56	87.31	90.14
Engineer/Scientist IV	On	80.34	82.95	85.64	88.43	91.3	94.27
