"Aegis Technologies Group, Inc., The - PSS"							
Labor Category	Site	10/29/2017 - 10/28/2018	10/29/2018 - 10/28/2019	10/29/2019 - 10/28/2020	10/29/2020 - 10/28/2021	10/29/2021 - 10/28/2022	10/29/2022 - 10/28/2023
Sys Engineer VI	On	128.99	131.96	134.99	139.18	143.49	147.94
Sys Engineer VII	On	147.65	151.05	154.52	159.32	164.26	169.35
Sys Engineer VIII	On	162.19	165.92	169.73		180.43	186.02
Typist/Secretary IV	On	55.68	56.96	58.27	60.08	61.94	63.86
							
KBRwyle - PSS							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 4	Off	100.36	101.86	103.39	104.94	106.51	108.11
Program Analyst 1	Off	55.66	56.49	57.34	58.2	59.08	59.96
Program Analyst 4	Off	81.05	82.27	83.5	84.75	86.02	87.31
Program Analyst 8	Off	107.55	109.16	110.8	112.46	114.15	115.86
Program Analyst 9	On	114.16	115.86	117.6	119.37	121.16	122.98
Program Analyst 9	Off	127.59	129.49	131.43	133.41	135.41	137.45
Senior Engineer 1	Off	117.83	119.6	121.39	123.21	125.05	126.93
Senior Engineer 3	On	144.57	146.74	148.94	151.17	153.44	155.75
Senior Engineer 3	Off	153.07	155.37	157.7	160.07	162.47	164.91
Senior Engineer 4	Off	190.29	193.14	196.03	198.98	201.96	204.99
							
"Lynx Support Specialist, Inc. - PSS"							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 2	On	69.01	70.04	71.09	72.16	73.24	74.34
Engineer 4	On	100.36	101.86	103.39	104.94	106.51	108.11
Engineer 5	On	121.61	123.43	125.29	127.17	129.08	131.02
Program Analyst 1	On	62.21	63.14	64.09	65.05	66.03	67.01
Program Analyst 3	On	84.3	85.56	86.84	88.14	89.46	90.8
Senior Engineer 1	On	134.46	136.48	138.53	140.6	142.71	144.85
Senior Engineer 2	On	148.52	150.76	153.02	155.32	157.64	160.01
Senior Engineer 3	On	164.98	167.45	169.96	172.51	175.1	177.73
Senior Engineer 4	On	194.29	197.2	200.16	203.17	206.21	209.31
							
"Modern Technology Solutions, Inc. (dba MTSI) - PSS"							
Labor Category	Site	10/24/2017 - 10/23/2018	10/24/2018 - 10/23/2019	10/24/2019 - 10/23/2020	10/24/2020 - 10/23/2021	10/24/2021 - 10/23/2022	10/24/2022 - 10/23/2023
Analyst II	On	73.98	75.91	77.88	79.9	81.98	84.11
Engineer II	On	83.21	85.37	87.59	89.87	92.21	94.61
Project Engineering Specialist II	On	110.56	113.44	116.39	119.42	122.52	125.71
Senior Project Engineering Specialist II	On	126.73	130.02	133.4	136.87	140.43	144.08
Senior Project Engineering Specialist IV	On	99.25	101.83	104.48	107.2	109.99	112.85
Technical Engineering Specialist I	On	68.5	70.28	72.11	73.98	75.9	77.87
Technical Engineering Specialist II	On	60.62	62.2	63.82	65.48	67.18	68.93
Technical Engineering Specialist III	On	48.29	49.54	50.83	52.15	53.51	54.9
							
Monte Sano Research Corporation - PSS							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 2	On	64.03	64.99	65.96	66.95	67.96	68.98
Engineer 4	On	95.08	96.5	97.95	99.41	100.91	102.42
Engineer 5	On	112.83	114.53	116.24	117.99	119.76	121.56
Program Analyst 1	On	58.93	59.81	60.71	61.62	62.55	63.49
Program Analyst 3	On	78.22	79.39	80.58	81.78	83.01	84.25
Program Analyst 5	On	86.93	88.24	89.56	90.9	92.27	93.65
Program Analyst 7	On	97.96	99.42	100.92	102.43	103.97	105.53
Program Analyst 9	On	120.87	122.68	124.52	126.39	128.29	130.21
Senior Engineer 1	On	124.76	126.63	128.53	130.46	132.41	134.4
Senior Engineer 2	On	140.71	142.82	144.96	147.14	149.35	151.59
Senior Engineer 3	On	153.07	155.37	157.7	160.07	162.47	164.91
Senior Engineer 4	On	180.27	182.97	185.72	188.51	191.33	194.2
							
Optical Sciences Corporation - PSS							
Labor Category	Site	5/15/2017 - 3/3/2018	3/4/2018 - 3/3/2019	3/4/2019 - 3/3/2020	3/4/2020 - 3/3/2021	3/4/2021 - 3/3/2022	3/4/2022 - 3/3/2023
Engineer 2	On	69.01	70.04	71.09	72.16	73.24	74.34
Engineer 3	On	81.95	83.19	84.44	85.71		88.3
Engineer 4	On	95.08	96.5	97.95	99.41	100.91	102.42
Engineer 5	On	112.83	114.53	116.24	117.99	119.76	121.56
Program Analyst 3	On	65.18	66.16	67.15	68.15	69.17	70.21
Senior Engineer 1	On	124.76	126.63	128.53	130.46	132.41	134.4
Senior Engineer 2	On	140.71	142.82	144.96	147.14	149.35	151.59
Senior Engineer 3	On	164.98	167.45	169.96	172.51	175.1	177.73
Senior Engineer 4	On	184.28	187.04	189.84	192.69	195.58	198.52
