"Aegis Technologies Group, Inc., The - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Senior Engineer/ Scientist IV	On	208.15	214.4	227.45	234.28	241.31	
Senior Engineer/Scientist III	On	166.98	171.98	182.47	187.93	193.58	
							
"DESE Research, Inc. - PES"							
Labor Category	Site	5/9/2012 - 5/8/2013	5/9/2013 - 5/8/2014	5/9/2014 - 5/8/2015	5/9/2015 - 5/8/2016	5/9/2016 - 5/8/2017	5/9/2017 - 5/8/2018
Analyst/Specialist IV	On	93.7	96.51	99.41	102.39	105.46	108.63
Engineer/Scientist II	On	75.59	77.85	80.19	82.59	85.07	87.62
Engineer/Scientist III	On	79.13	81.5	83.94	86.46	89.06	91.73
Engineer/Scientist III	Off	93.73	96.54	99.44	102.42	105.5	108.66
Engineer/Scientist V	On	110.36	113.67	117.08	120.59	124.21	127.94
Engineer/Scientist VI	On	127.36	131.18	135.12	139.17	143.35	147.65
Engineer/Scientist VII	Off	169.9	175	180.25	185.66	191.23	196.96
Engineer/Scientist VII	On	145.76	150.13	154.63	159.27	164.05	168.97
Program Manager II	Off	197.06	202.98	209.07	215.34	221.8	228.45
Program Manager II	On	170.44	175.56	180.82	186.25	191.83	197.59
Subject Matter Expert	On	218.64	225.2	231.95	238.91	246.08	253.46
							
"Digital Fusion Solutions, Inc. - PES"							
Labor Category	Site	2/10/2012 - 2/9/2013	2/10/2013 - 2/9/2014	2/10/2014 - 2/9/2015	2/10/2015 - 2/9/2016	2/10/2016 - 2/9/2017	2/10/2017 - 2/9/2018
Engineer/Scientist	On	113.65	117.05	119.86	122.14	124.46	126.82
Entry-Level Analyst/Logistician/Specialist	On	36.95	38.05	38.97	39.71	40.46	41.23
Journeyman Engineer/Scientist	On	92.64	95.42	97.71	99.56	101.45	103.38
Management/Systems Analyst	On	159.34	164.11	151.24	154.11	157.04	160.03
Principal Analyst/Logistician/Specialist	On	113.34	116.74	119.53	121.81	124.12	126.48
Principal Engineer/Scientist	On	143.47	147.77	151.31	154.19	157.12	160.1
Program Manager	On	157.61	162.33	166.22	169.38	172.6	175.88
Senior Analyst/Logistician/Specialist	On	78.18	80.52	82.45	84.02	85.61	87.24
Task Order/Project Leader	On	150.43	154.93	158.65	161.66	164.73	167.86
							
"Dignitas Technologies, LLC - PES"							
Labor Category	Site	8/26/2011 - 8/25/2012	8/26/2012 - 10/10/2014	10/11/2014 - 8/25/2015	8/26/2015 - 8/25/2016	8/26/2016 - 8/25/2017	
Admin II	Off	41.73	42.98	45.6	46.97	48.38	
